,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.6792999999999999,0.61988,5.12,-6.257099999999999,0.58,0.12551400000000001,0.18656638,0.0006325647999999999,0.148442,0.44281600000000004,126.55488,195796.04,3.9,82.56
std,0.1559771372571595,0.14289908527149,3.7178005347687133,1.7926199188532375,0.4985693819032899,0.10174345691242163,0.19858866034717418,0.002755074825828741,0.0968030908808269,0.27064780665835736,37.13947815984099,36845.01341441704,0.3030457633656632,7.1003305470626525
min,0.345,0.192,0.0,-12.151,0.0,0.0269,0.000189,0.0,0.0424,0.0849,72.993,106133.0,3.0,71.0
25%,0.5772499999999999,0.53425,2.0,-7.0005,0.0,0.054150000000000004,0.02345,0.0,0.09457499999999999,0.197,94.24225,172975.75,4.0,75.5
50%,0.71,0.645,5.0,-6.2509999999999994,1.0,0.0824,0.0911,0.0,0.114,0.4195,127.51650000000001,194294.5,4.0,84.0
75%,0.80625,0.7064999999999999,8.0,-5.249750000000001,1.0,0.1625,0.33225000000000005,1.02275e-05,0.137,0.6525000000000001,150.06574999999998,215178.25,4.0,88.0
max,0.916,0.859,11.0,-2.724,1.0,0.355,0.691,0.0177,0.434,0.956,205.863,292799.0,4.0,100.0
